Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Chris Sale (11057779),Chris Sale,11057779,P,13500,BOS@BAL 08/11/2018 07:05PM ET,BOS,28.68
SP,Jacob deGrom (11057780),Jacob deGrom,11057780,P,12900,NYM@MIA 08/11/2018 07:10PM ET,NYM,25.28
SP,Clayton Kershaw (11057781),Clayton Kershaw,11057781,P,12800,LAD@COL 08/11/2018 08:10PM ET,LAD,17.89
SP,Trevor Bauer (11057169),Trevor Bauer,11057169,P,12500,CLE@CWS 08/11/2018 07:10PM ET,CLE,25.94
SP,Gerrit Cole (11057782),Gerrit Cole,11057782,P,12500,SEA@HOU 08/11/2018 07:10PM ET,HOU,25.66
SP,Justin Verlander (11057783),Justin Verlander,11057783,P,12400,SEA@HOU 08/11/2018 07:10PM ET,HOU,25.55
SP,Carlos Carrasco (11057784),Carlos Carrasco,11057784,P,11500,CLE@CWS 08/11/2018 07:10PM ET,CLE,20.02
SP,Charlie Morton (11057170),Charlie Morton,11057170,P,11500,SEA@HOU 08/11/2018 07:10PM ET,HOU,22.68
SP,Corey Kluber (11057785),Corey Kluber,11057785,P,10900,CLE@CWS 08/11/2018 07:10PM ET,CLE,22.66
SP,Mike Foltynewicz (11057787),Mike Foltynewicz,11057787,P,10600,MIL@ATL 08/11/2018 07:10PM ET,ATL,19.88
SP,James Paxton (11057786),James Paxton,11057786,P,10600,SEA@HOU 08/11/2018 07:10PM ET,SEA,22.24
SP,Sean Newcomb (11057788),Sean Newcomb,11057788,P,10500,MIL@ATL 08/11/2018 07:10PM ET,ATL,17.10
SP,Zack Wheeler (11057789),Zack Wheeler,11057789,P,10100,NYM@MIA 08/11/2018 07:10PM ET,NYM,17.34
SP,Rick Porcello (11057790),Rick Porcello,11057790,P,10000,BOS@BAL 08/11/2018 07:05PM ET,BOS,17.51
SP,David Price (11057791),David Price,11057791,P,9900,BOS@BAL 08/11/2018 07:05PM ET,BOS,17.74
SP,Aaron Nola (11057171),Aaron Nola,11057171,P,9800,PHI@SD 08/11/2018 08:40PM ET,PHI,21.78
SP,Nathan Eovaldi (11057792),Nathan Eovaldi,11057792,P,9700,BOS@BAL 08/11/2018 07:05PM ET,BOS,14.56
SP,Jack Flaherty (11057172),Jack Flaherty,11057172,P,9600,STL@KC 08/11/2018 07:15PM ET,STL,16.69
SP,Noah Syndergaard (11057793),Noah Syndergaard,11057793,P,9600,NYM@MIA 08/11/2018 07:10PM ET,NYM,18.81
SP,Mike Clevinger (11057795),Mike Clevinger,11057795,P,9500,CLE@CWS 08/11/2018 07:10PM ET,CLE,18.85
SP,Rich Hill (11057794),Rich Hill,11057794,P,9500,LAD@COL 08/11/2018 08:10PM ET,LAD,15.15
SP,Madison Bumgarner (11057796),Madison Bumgarner,11057796,P,9300,PIT@SF 08/11/2018 09:05PM ET,SF,17.33
SP,Freddy Peralta (11057798),Freddy Peralta,11057798,P,9200,MIL@ATL 08/11/2018 07:10PM ET,MIL,17.83
SP,Sean Manaea (11057797),Sean Manaea,11057797,P,9200,OAK@LAA 08/11/2018 09:07PM ET,OAK,15.19
SP,Miles Mikolas (11057799),Miles Mikolas,11057799,P,9000,STL@KC 08/11/2018 07:15PM ET,STL,16.26
SP,Hyun-Jin Ryu (11057801),Hyun-Jin Ryu,11057801,P,8900,LAD@COL 08/11/2018 08:10PM ET,LAD,17.22
RP,Dereck Rodriguez (11057800),Dereck Rodriguez,11057800,P,8900,PIT@SF 08/11/2018 09:05PM ET,SF,16.85
SP,Lance McCullers Jr. (11057803),Lance McCullers Jr.,11057803,P,8800,SEA@HOU 08/11/2018 07:10PM ET,HOU,17.97
SP,Andrew Heaney (11057802),Andrew Heaney,11057802,P,8800,OAK@LAA 08/11/2018 09:07PM ET,LAA,17.04
SP,Eduardo Rodriguez (11057804),Eduardo Rodriguez,11057804,P,8700,BOS@BAL 08/11/2018 07:05PM ET,BOS,17.91
SP,Jimmy Nelson (11057805),Jimmy Nelson,11057805,P,8600,MIL@ATL 08/11/2018 07:10PM ET,MIL,0
