Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Alex Wood (11057806),Alex Wood,11057806,P,8500,LAD@COL 08/11/2018 08:10PM ET,LAD,15.10
SP,Zach Eflin (11057807),Zach Eflin,11057807,P,8500,PHI@SD 08/11/2018 08:40PM ET,PHI,16.16
SP,Danny Salazar (11057808),Danny Salazar,11057808,P,8400,CLE@CWS 08/11/2018 07:10PM ET,CLE,0
SP,Dallas Keuchel (11057809),Dallas Keuchel,11057809,P,8400,SEA@HOU 08/11/2018 07:10PM ET,HOU,15.16
SP,Marco Gonzales (11057810),Marco Gonzales,11057810,P,8400,SEA@HOU 08/11/2018 07:10PM ET,SEA,16.68
SP,Nick Pivetta (11057811),Nick Pivetta,11057811,P,8400,PHI@SD 08/11/2018 08:40PM ET,PHI,15.71
SP,Shane Bieber (11057812),Shane Bieber,11057812,P,8300,CLE@CWS 08/11/2018 07:10PM ET,CLE,16.90
SP,Tyler Skaggs (11057173),Tyler Skaggs,11057173,P,8200,OAK@LAA 08/11/2018 09:07PM ET,LAA,17.57
SP,Vince Velasquez (11057813),Vince Velasquez,11057813,P,8200,PHI@SD 08/11/2018 08:40PM ET,PHI,15.91
SP,Anibal Sanchez (11057814),Anibal Sanchez,11057814,P,8100,MIL@ATL 08/11/2018 07:10PM ET,ATL,17.23
SP,Michael Wacha (11057816),Michael Wacha,11057816,P,8100,STL@KC 08/11/2018 07:15PM ET,STL,16.01
SP,Johnny Cueto (11057815),Johnny Cueto,11057815,P,8100,PIT@SF 08/11/2018 09:05PM ET,SF,14.54
SP,Carlos Martinez (11057817),Carlos Martinez,11057817,P,7900,STL@KC 08/11/2018 07:15PM ET,STL,14.76
SP,Chase Anderson (11057819),Chase Anderson,11057819,P,7800,MIL@ATL 08/11/2018 07:10PM ET,MIL,13.55
SP,Danny Duffy (11057174),Danny Duffy,11057174,P,7800,STL@KC 08/11/2018 07:15PM ET,KC,13.43
SP,Jake Arrieta (11057818),Jake Arrieta,11057818,P,7800,PHI@SD 08/11/2018 08:40PM ET,PHI,14.65
SP,Trevor Richards (11057820),Trevor Richards,11057820,P,7800,NYM@MIA 08/11/2018 07:10PM ET,MIA,13.31
SP,Walker Buehler (11057175),Walker Buehler,11057175,P,7700,LAD@COL 08/11/2018 08:10PM ET,LAD,16.82
SP,Jon Gray (11057821),Jon Gray,11057821,P,7700,LAD@COL 08/11/2018 08:10PM ET,COL,17.27
SP,Julio Teheran (11057176),Julio Teheran,11057176,P,7600,MIL@ATL 08/11/2018 07:10PM ET,ATL,14.10
SP,Derek Holland (11057822),Derek Holland,11057822,P,7600,PIT@SF 08/11/2018 09:05PM ET,SF,12.86
SP,Jhoulys Chacin (11057824),Jhoulys Chacin,11057824,P,7500,MIL@ATL 08/11/2018 07:10PM ET,MIL,13.83
SP,Hector Velazquez (11057177),Hector Velazquez,11057177,P,7500,BOS@BAL 08/11/2018 07:05PM ET,BOS,4.41
SP,Brian Johnson (11057823),Brian Johnson,11057823,P,7500,BOS@BAL 08/11/2018 07:05PM ET,BOS,6.48
SP,Garrett Richards (11057825),Garrett Richards,11057825,P,7500,OAK@LAA 08/11/2018 09:07PM ET,LAA,15.27
SP,Kyle Freeland (11057178),Kyle Freeland,11057178,P,7400,LAD@COL 08/11/2018 08:10PM ET,COL,16.15
SP,Trevor Cahill (11057826),Trevor Cahill,11057826,P,7400,OAK@LAA 08/11/2018 09:07PM ET,OAK,17.92
SP,Junior Guerra (11057827),Junior Guerra,11057827,P,7300,MIL@ATL 08/11/2018 07:10PM ET,MIL,15.32
SP,Carlos Rodon (11057829),Carlos Rodon,11057829,P,7300,CLE@CWS 08/11/2018 07:10PM ET,CWS,18.20
SP,Wade LeBlanc (11057179),Wade LeBlanc,11057179,P,7300,SEA@HOU 08/11/2018 07:10PM ET,SEA,12.25
SP,Nick Kingham (11057828),Nick Kingham,11057828,P,7300,PIT@SF 08/11/2018 09:05PM ET,PIT,12.67
SP,Dinelson Lamet (11057830),Dinelson Lamet,11057830,P,7300,PHI@SD 08/11/2018 08:40PM ET,SD,0
SP,Enyel De Los Santos (11057831),Enyel De Los Santos,11057831,P,7300,PHI@SD 08/11/2018 08:40PM ET,PHI,6.8
RP,Ross Stripling (11057833),Ross Stripling,11057833,P,7200,LAD@COL 08/11/2018 08:10PM ET,LAD,12.34
SP,Tyson Ross (11057832),Tyson Ross,11057832,P,7200,STL@KC 08/11/2018 07:15PM ET,STL,11.64
SP,Luke Weaver (11057834),Luke Weaver,11057834,P,7200,STL@KC 08/11/2018 07:15PM ET,STL,10.76
SP,Chad Kuhl (11057835),Chad Kuhl,11057835,P,7200,PIT@SF 08/11/2018 09:05PM ET,PIT,11.76
SP,Jameson Taillon (11057837),Jameson Taillon,11057837,P,7100,PIT@SF 08/11/2018 09:05PM ET,PIT,16.27
SP,Mike Fiers (11057836),Mike Fiers,11057836,P,7100,OAK@LAA 08/11/2018 09:07PM ET,OAK,14.10
SP,Ranger Suarez (11057838),Ranger Suarez,11057838,P,7100,PHI@SD 08/11/2018 08:40PM ET,PHI,9.05
RP,Collin McHugh (11057840),Collin McHugh,11057840,P,7000,SEA@HOU 08/11/2018 07:10PM ET,HOU,6.15
SP,Kenta Maeda (11057839),Kenta Maeda,11057839,P,7000,LAD@COL 08/11/2018 08:10PM ET,LAD,15.48
SP,German Marquez (11057841),German Marquez,11057841,P,7000,LAD@COL 08/11/2018 08:10PM ET,COL,15.69
SP,Mike Soroka (11057844),Mike Soroka,11057844,P,6900,MIL@ATL 08/11/2018 07:10PM ET,ATL,13.11
SP,Trevor Williams (11057180),Trevor Williams,11057180,P,6900,PIT@SF 08/11/2018 09:05PM ET,PIT,12.36
SP,Steven Matz (11057842),Steven Matz,11057842,P,6900,NYM@MIA 08/11/2018 07:10PM ET,NYM,12.62
SP,Caleb Smith (11057843),Caleb Smith,11057843,P,6900,NYM@MIA 08/11/2018 07:10PM ET,MIA,14.91
SP,Kevin Gausman (11057848),Kevin Gausman,11057848,P,6800,MIL@ATL 08/11/2018 07:10PM ET,ATL,13.15
SP,Adam Wainwright (11057845),Adam Wainwright,11057845,P,6800,STL@KC 08/11/2018 07:15PM ET,STL,9.38
SP,Chris Archer (11057846),Chris Archer,11057846,P,6800,PIT@SF 08/11/2018 09:05PM ET,PIT,14.70
SP,Matt Shoemaker (11057847),Matt Shoemaker,11057847,P,6800,OAK@LAA 08/11/2018 09:07PM ET,LAA,13.95
SP,Alex Reyes (11057851),Alex Reyes,11057851,P,6700,STL@KC 08/11/2018 07:15PM ET,STL,9.4
SP,Andrew Triggs (11057850),Andrew Triggs,11057850,P,6700,OAK@LAA 08/11/2018 09:07PM ET,OAK,12.02
SP,Jose Urena (11057849),Jose Urena,11057849,P,6700,NYM@MIA 08/11/2018 07:10PM ET,MIA,11.22
SP,Michael Kopech (11057853),Michael Kopech,11057853,P,6600,CLE@CWS 08/11/2018 07:10PM ET,CWS,0
SP,Antonio Senzatela (11057852),Antonio Senzatela,11057852,P,6600,LAD@COL 08/11/2018 08:10PM ET,COL,7.26
SP,Dan Straily (11057181),Dan Straily,11057181,P,6600,NYM@MIA 08/11/2018 07:10PM ET,MIA,10.74
SP,Dylan Bundy (11057854),Dylan Bundy,11057854,P,6500,BOS@BAL 08/11/2018 07:05PM ET,BAL,15.64
SP,Daniel Mengden (11057855),Daniel Mengden,11057855,P,6500,OAK@LAA 08/11/2018 09:07PM ET,OAK,11.76
SP,Joey Lucchesi (11057856),Joey Lucchesi,11057856,P,6500,PHI@SD 08/11/2018 08:40PM ET,SD,14.54
SP,Wade Miley (11057182),Wade Miley,11057182,P,6400,MIL@ATL 08/11/2018 07:10PM ET,MIL,12.41
SP,Luiz Gohara (11057858),Luiz Gohara,11057858,P,6400,MIL@ATL 08/11/2018 07:10PM ET,ATL,4.43
SP,Jerad Eickhoff (11057857),Jerad Eickhoff,11057857,P,6400,PHI@SD 08/11/2018 08:40PM ET,PHI,0
SP,Brandon McCarthy (11057859),Brandon McCarthy,11057859,P,6300,MIL@ATL 08/11/2018 07:10PM ET,ATL,11.73
SP,Kolby Allard (11057864),Kolby Allard,11057864,P,6300,MIL@ATL 08/11/2018 07:10PM ET,ATL,-1.82
SP,Nate Karns (11057860),Nate Karns,11057860,P,6300,STL@KC 08/11/2018 07:15PM ET,KC,0
SP,John Gant (11057861),John Gant,11057861,P,6300,STL@KC 08/11/2018 07:15PM ET,STL,10.49
RP,Austin Gomber (11057863),Austin Gomber,11057863,P,6300,STL@KC 08/11/2018 07:15PM ET,STL,4.00
SP,Jharel Cotton (11057862),Jharel Cotton,11057862,P,6300,OAK@LAA 08/11/2018 09:07PM ET,OAK,0
SP,Alec Hansen (11057869),Alec Hansen,11057869,P,6200,CLE@CWS 08/11/2018 07:10PM ET,CWS,0
SP,Steven Wright (11057865),Steven Wright,11057865,P,6200,BOS@BAL 08/11/2018 07:05PM ET,BOS,9.94
SP,Drew Pomeranz (11057866),Drew Pomeranz,11057866,P,6200,BOS@BAL 08/11/2018 07:05PM ET,BOS,7.18
RP,Nick Tropeano (11057867),Nick Tropeano,11057867,P,6200,OAK@LAA 08/11/2018 09:07PM ET,LAA,12.74
SP,Jaime Barria (11057868),Jaime Barria,11057868,P,6200,OAK@LAA 08/11/2018 09:07PM ET,LAA,12.74
SP,Brent Suter (11057874),Brent Suter,11057874,P,6100,MIL@ATL 08/11/2018 07:10PM ET,MIL,12.05
SP,Adam Plutko (11057873),Adam Plutko,11057873,P,6100,CLE@CWS 08/11/2018 07:10PM ET,CLE,10.28
SP,Felix Hernandez (11057870),Felix Hernandez,11057870,P,6100,SEA@HOU 08/11/2018 07:10PM ET,SEA,10.33
SP,Ian Kennedy (11057871),Ian Kennedy,11057871,P,6100,STL@KC 08/11/2018 07:15PM ET,KC,11.16
SP,Edwin Jackson (11057183),Edwin Jackson,11057183,P,6100,OAK@LAA 08/11/2018 09:07PM ET,OAK,15.89
SP,Alex Meyer (11057872),Alex Meyer,11057872,P,6100,OAK@LAA 08/11/2018 09:07PM ET,LAA,0
SP,Zach Davies (11057875),Zach Davies,11057875,P,6000,MIL@ATL 08/11/2018 07:10PM ET,MIL,9.64
OF,Mookie Betts (11057189),Mookie Betts,11057189,OF,6000,BOS@BAL 08/11/2018 07:05PM ET,BOS,12.64
SP,Jakob Junis (11057877),Jakob Junis,11057877,P,6000,STL@KC 08/11/2018 07:15PM ET,KC,13.61
SP,Brad Keller (11057878),Brad Keller,11057878,P,6000,STL@KC 08/11/2018 07:15PM ET,KC,5.72
RP,Seth Lugo (11057876),Seth Lugo,11057876,P,6000,NYM@MIA 08/11/2018 07:10PM ET,NYM,6.20
SP,Mike Leake (11057879),Mike Leake,11057879,P,5900,SEA@HOU 08/11/2018 07:10PM ET,SEA,12.1
SP,Hisashi Iwakuma (11057880),Hisashi Iwakuma,11057880,P,5900,SEA@HOU 08/11/2018 07:10PM ET,SEA,0
SP,Rogelio Armenteros (11057883),Rogelio Armenteros,11057883,P,5900,SEA@HOU 08/11/2018 07:10PM ET,HOU,0
SP,Tyler Anderson (11057881),Tyler Anderson,11057881,P,5900,LAD@COL 08/11/2018 08:10PM ET,COL,14.67
SP,Caleb Ferguson (11057882),Caleb Ferguson,11057882,P,5900,LAD@COL 08/11/2018 08:10PM ET,LAD,8.49
OF,Mike Trout (11057190),Mike Trout,11057190,OF,5900,OAK@LAA 08/11/2018 09:07PM ET,LAA,11.13
SP,Brandon Woodruff (11057886),Brandon Woodruff,11057886,P,5800,MIL@ATL 08/11/2018 07:10PM ET,MIL,6.89
SP,James Shields (11057184),James Shields,11057184,P,5800,CLE@CWS 08/11/2018 07:10PM ET,CWS,12.78
SS,Francisco Lindor (11057192),Francisco Lindor,11057192,SS,5800,CLE@CWS 08/11/2018 07:10PM ET,CLE,11.10
3B,Jose Ramirez (11057193),Jose Ramirez,11057193,3B,5800,CLE@CWS 08/11/2018 07:10PM ET,CLE,11.40
RP,Brad Peacock (11057884),Brad Peacock,11057884,P,5800,SEA@HOU 08/11/2018 07:10PM ET,HOU,4.54
OF,J.D. Martinez (11057191),J.D. Martinez,11057191,OF,5800,BOS@BAL 08/11/2018 07:05PM ET,BOS,11.05
SP,Joe Musgrove (11057885),Joe Musgrove,11057885,P,5800,PIT@SF 08/11/2018 09:05PM ET,PIT,15.02
SP,Chris Stratton (11057887),Chris Stratton,11057887,P,5800,PIT@SF 08/11/2018 09:05PM ET,SF,9.89
SP,Cal Quantrill (11057889),Cal Quantrill,11057889,P,5800,PHI@SD 08/11/2018 08:40PM ET,SD,0
SP,Pablo Lopez (11057888),Pablo Lopez,11057888,P,5800,NYM@MIA 08/11/2018 07:10PM ET,MIA,10.93
OF,Andrew Benintendi (11057194),Andrew Benintendi,11057194,OF,5700,BOS@BAL 08/11/2018 07:05PM ET,BOS,10.08
SP,Jacob Nix (11057890),Jacob Nix,11057890,P,5700,PHI@SD 08/11/2018 08:40PM ET,SD,21.9
SP,Scott Kazmir (11057891),Scott Kazmir,11057891,P,5600,MIL@ATL 08/11/2018 07:10PM ET,ATL,0
SP,Ariel Miranda (11057892),Ariel Miranda,11057892,P,5600,SEA@HOU 08/11/2018 07:10PM ET,SEA,13.25
SP,Corey Oswalt (11057185),Corey Oswalt,11057185,P,5600,NYM@MIA 08/11/2018 07:10PM ET,NYM,9.26
OF,Christian Yelich (11057195),Christian Yelich,11057195,OF,5500,MIL@ATL 08/11/2018 07:10PM ET,MIL,9.82
RP,Jordan Lyles (11057893),Jordan Lyles,11057893,P,5500,MIL@ATL 08/11/2018 07:10PM ET,MIL,6.64
SP,Reynaldo Lopez (11057895),Reynaldo Lopez,11057895,P,5500,CLE@CWS 08/11/2018 07:10PM ET,CWS,11.71
RP,Felix Pena (11057894),Felix Pena,11057894,P,5500,OAK@LAA 08/11/2018 09:07PM ET,LAA,8.77
3B,Nolan Arenado (11057196),Nolan Arenado,11057196,3B,5400,LAD@COL 08/11/2018 08:10PM ET,COL,9.92
SP,Ty Blach (11057186),Ty Blach,11057186,P,5400,PIT@SF 08/11/2018 09:05PM ET,SF,4.54
RP,JC Ramirez (11057896),JC Ramirez,11057896,P,5400,OAK@LAA 08/11/2018 09:07PM ET,LAA,0.3
RP,Frankie Montas (11057897),Frankie Montas,11057897,P,5400,OAK@LAA 08/11/2018 09:07PM ET,OAK,12.82
1B/OF,Eric Thames (11057197),Eric Thames,11057197,1B/OF,5300,MIL@ATL 08/11/2018 07:10PM ET,MIL,7.82
SP,Chris Bassitt (11057898),Chris Bassitt,11057898,P,5300,OAK@LAA 08/11/2018 09:07PM ET,OAK,13.27
SP,Walker Lockett (11057187),Walker Lockett,11057187,P,5300,PHI@SD 08/11/2018 08:40PM ET,SD,2.33
SP,Chris Flexen (11057899),Chris Flexen,11057899,P,5300,NYM@MIA 08/11/2018 07:10PM ET,NYM,-2.59
SP,Miguel Gonzalez (11057901),Miguel Gonzalez,11057901,P,5200,CLE@CWS 08/11/2018 07:10PM ET,CWS,-4.75
RP,David Paulino (11057902),David Paulino,11057902,P,5200,SEA@HOU 08/11/2018 07:10PM ET,HOU,0
OF,Charlie Blackmon (11057201),Charlie Blackmon,11057201,OF,5200,LAD@COL 08/11/2018 08:10PM ET,COL,8.77
SS,Manny Machado (11057210),Manny Machado,11057210,SS,5200,LAD@COL 08/11/2018 08:10PM ET,LAD,9.20
1B/3B,Matt Carpenter (11057199),Matt Carpenter,11057199,1B/3B,5200,STL@KC 08/11/2018 07:15PM ET,STL,9.64
SP,Ricky Nolasco (11057900),Ricky Nolasco,11057900,P,5200,STL@KC 08/11/2018 07:15PM ET,KC,0
RP,Paul Sewald (11057903),Paul Sewald,11057903,P,5200,NYM@MIA 08/11/2018 07:10PM ET,NYM,3.50
SP,Andrew Albers (11057906),Andrew Albers,11057906,P,5100,SEA@HOU 08/11/2018 07:10PM ET,SEA,0
SP,Chase De Jong (11057911),Chase De Jong,11057911,P,5100,SEA@HOU 08/11/2018 07:10PM ET,SEA,0
RP,Rob Whalen (11057912),Rob Whalen,11057912,P,5100,SEA@HOU 08/11/2018 07:10PM ET,SEA,7.8
2B,Brian Dozier (11057202),Brian Dozier,11057202,2B,5100,LAD@COL 08/11/2018 08:10PM ET,LAD,8.04
1B/OF,Cody Bellinger (11057212),Cody Bellinger,11057212,1B/OF,5100,LAD@COL 08/11/2018 08:10PM ET,LAD,7.81
SP,Jason Hammel (11057904),Jason Hammel,11057904,P,5100,STL@KC 08/11/2018 07:15PM ET,KC,5.96
RP,Daniel Poncedeleon (11057908),Daniel Poncedeleon,11057908,P,5100,STL@KC 08/11/2018 07:15PM ET,STL,9.3
SP,Andrew Suarez (11057909),Andrew Suarez,11057909,P,5100,PIT@SF 08/11/2018 09:05PM ET,SF,12.71
SP,Clayton Richard (11057905),Clayton Richard,11057905,P,5100,PHI@SD 08/11/2018 08:40PM ET,SD,10.52
SP,Ben Lively (11057907),Ben Lively,11057907,P,5100,PHI@SD 08/11/2018 08:40PM ET,PHI,5.51
SP,Brett Kennedy (11057914),Brett Kennedy,11057914,P,5100,PHI@SD 08/11/2018 08:40PM ET,SD,-3.6
SP,Marcos Molina (11057910),Marcos Molina,11057910,P,5100,NYM@MIA 08/11/2018 07:10PM ET,NYM,0
RP,Merandy Gonzalez (11057913),Merandy Gonzalez,11057913,P,5100,NYM@MIA 08/11/2018 07:10PM ET,MIA,5.49
RP,Grant Dayton (11057919),Grant Dayton,11057919,P,5000,MIL@ATL 08/11/2018 07:10PM ET,ATL,0
SP,Aaron Blair (11057920),Aaron Blair,11057920,P,5000,MIL@ATL 08/11/2018 07:10PM ET,ATL,0
SP,Corbin Burnes (11057925),Corbin Burnes,11057925,P,5000,MIL@ATL 08/11/2018 07:10PM ET,MIL,4.66
SP,Josh Tomlin (11057917),Josh Tomlin,11057917,P,5000,CLE@CWS 08/11/2018 07:10PM ET,CLE,2.12
SP,Hector Santiago (11057918),Hector Santiago,11057918,P,5000,CLE@CWS 08/11/2018 07:10PM ET,CWS,4.62
OF,David Dahl (11057203),David Dahl,11057203,OF,5000,LAD@COL 08/11/2018 08:10PM ET,COL,5.90
1B/3B,Max Muncy (11057207),Max Muncy,11057207,1B/3B,5000,LAD@COL 08/11/2018 08:10PM ET,LAD,8.33
SS,Trevor Story (11057223),Trevor Story,11057223,SS,5000,LAD@COL 08/11/2018 08:10PM ET,COL,9.31
SP,Andrew Cashner (11057916),Andrew Cashner,11057916,P,5000,BOS@BAL 08/11/2018 07:05PM ET,BAL,9.51
SP,Mitch Keller (11057924),Mitch Keller,11057924,P,5000,PIT@SF 08/11/2018 09:05PM ET,PIT,0
SP,Daniel Gossett (11057922),Daniel Gossett,11057922,P,5000,OAK@LAA 08/11/2018 09:07PM ET,OAK,6.07
SP,Phil Hughes (11057915),Phil Hughes,11057915,P,5000,PHI@SD 08/11/2018 08:40PM ET,SD,2.54
RP,Jarlin Garcia (11057921),Jarlin Garcia,11057921,P,5000,NYM@MIA 08/11/2018 07:10PM ET,MIA,7.13
SP,Dillon Peters (11057923),Dillon Peters,11057923,P,5000,NYM@MIA 08/11/2018 07:10PM ET,MIA,4.32
2B/3B,Travis Shaw (11057217),Travis Shaw,11057217,2B/3B,4900,MIL@ATL 08/11/2018 07:10PM ET,MIL,7.67
RP,Aaron Wilkerson (11057933),Aaron Wilkerson,11057933,P,4900,MIL@ATL 08/11/2018 07:10PM ET,MIL,3.55
OF,Carlos Gonzalez (11057204),Carlos Gonzalez,11057204,OF,4900,LAD@COL 08/11/2018 08:10PM ET,COL,7.62
C,Yasmani Grandal (11057206),Yasmani Grandal,11057206,C,4900,LAD@COL 08/11/2018 08:10PM ET,LAD,7.61
SP,Jeff Hoffman (11057929),Jeff Hoffman,11057929,P,4900,LAD@COL 08/11/2018 08:10PM ET,COL,-0.28
SP,Julio Urias (11057930),Julio Urias,11057930,P,4900,LAD@COL 08/11/2018 08:10PM ET,LAD,0
SP,Alex Cobb (11057926),Alex Cobb,11057926,P,4900,BOS@BAL 08/11/2018 07:05PM ET,BAL,8.5
SP,Ivan Nova (11057927),Ivan Nova,11057927,P,4900,PIT@SF 08/11/2018 09:05PM ET,PIT,11.89
SP,Luis Escobar (11057932),Luis Escobar,11057932,P,4900,PIT@SF 08/11/2018 09:05PM ET,PIT,0
RP,Parker Bridwell (11057928),Parker Bridwell,11057928,P,4900,OAK@LAA 08/11/2018 09:07PM ET,LAA,-12.45
SP,A.J. Puk (11057931),A.J. Puk,11057931,P,4900,OAK@LAA 08/11/2018 09:07PM ET,OAK,0
OF,Brandon Nimmo (11057211),Brandon Nimmo,11057211,OF,4900,NYM@MIA 08/11/2018 07:10PM ET,NYM,7.32
1B,Jesus Aguilar (11057209),Jesus Aguilar,11057209,1B,4800,MIL@ATL 08/11/2018 07:10PM ET,MIL,8.30
OF,Ronald Acuna Jr. (11057219),Ronald Acuna Jr.,11057219,OF,4800,MIL@ATL 08/11/2018 07:10PM ET,ATL,8.79
SP,Carson Fulmer (11057937),Carson Fulmer,11057937,P,4800,CLE@CWS 08/11/2018 07:10PM ET,CWS,4.57
OF,George Springer (11057220),George Springer,11057220,OF,4800,SEA@HOU 08/11/2018 07:10PM ET,HOU,8.27
OF,Joc Pederson (11057216),Joc Pederson,11057216,OF,4800,LAD@COL 08/11/2018 08:10PM ET,LAD,6.21
2B,Ian Kinsler (11057214),Ian Kinsler,11057214,2B,4800,BOS@BAL 08/11/2018 07:05PM ET,BOS,7.42
RP,Hunter Harvey (11057938),Hunter Harvey,11057938,P,4800,BOS@BAL 08/11/2018 07:05PM ET,BAL,0
SP,Eric Skoglund (11057935),Eric Skoglund,11057935,P,4800,STL@KC 08/11/2018 07:15PM ET,KC,8.37
SP,Ryan Helsley (11057939),Ryan Helsley,11057939,P,4800,STL@KC 08/11/2018 07:15PM ET,STL,0
OF,Corey Dickerson (11057215),Corey Dickerson,11057215,OF,4800,PIT@SF 08/11/2018 09:05PM ET,PIT,7.85
SP,Brett Anderson (11057934),Brett Anderson,11057934,P,4800,OAK@LAA 08/11/2018 09:07PM ET,OAK,7.58
SP,Kendall Graveman (11057936),Kendall Graveman,11057936,P,4800,OAK@LAA 08/11/2018 09:07PM ET,OAK,6.06
SP,Forrest Whitley (11057941),Forrest Whitley,11057941,P,4700,SEA@HOU 08/11/2018 07:10PM ET,HOU,0
SP,Chad Bettis (11057940),Chad Bettis,11057940,P,4700,LAD@COL 08/11/2018 08:10PM ET,COL,9.71
1B,Mitch Moreland (11057205),Mitch Moreland,11057205,1B,4700,BOS@BAL 08/11/2018 07:05PM ET,BOS,7.41
SS,Xander Bogaerts (11057222),Xander Bogaerts,11057222,SS,4700,BOS@BAL 08/11/2018 07:05PM ET,BOS,9.04
OF,Khris Davis (11057221),Khris Davis,11057221,OF,4700,OAK@LAA 08/11/2018 09:07PM ET,OAK,9.43
OF,Rhys Hoskins (11057224),Rhys Hoskins,11057224,OF,4700,PHI@SD 08/11/2018 08:40PM ET,PHI,8.85
1B,Freddie Freeman (11057228),Freddie Freeman,11057228,1B,4600,MIL@ATL 08/11/2018 07:10PM ET,ATL,9.36
OF,Michael Brantley (11057225),Michael Brantley,11057225,OF,4600,CLE@CWS 08/11/2018 07:10PM ET,CLE,8.44
SS,Carlos Correa (11057229),Carlos Correa,11057229,SS,4600,SEA@HOU 08/11/2018 07:10PM ET,HOU,8.43
3B/SS,Alex Bregman (11057230),Alex Bregman,11057230,3B/SS,4600,SEA@HOU 08/11/2018 07:10PM ET,HOU,9.48
OF,Yasiel Puig (11057232),Yasiel Puig,11057232,OF,4600,LAD@COL 08/11/2018 08:10PM ET,LAD,7.28
